PSTAT,PNAME,PLNGENAN,CNTYNAME,LAT,LON
AK,7-Mile Ridge Wind Project,,Southeast Fairbanks,63.210689,-143.247156
AK,Agrium Kenai Nitrogen Operations,,Kenai Peninsula,60.6732,-151.3784
AK,Alakanuk,1213,Wade Hampton,62.6833,-164.6544
AK,Allison Creek Hydro,881,Valdez Cordova,61.084444,-146.353333
AK,Ambler,1316,Northwest Arctic,67.08798,-157.856719
AK,Anchorage 1,45082,Anchorage,61.2221,-149.8661
AK,Angoon,1714,Hoonah-Angoon,57.499166,-134.58614
AK,Aniak,2614,Bethel,61.580678,-159.535643
AK,Annex Creek,25644,Juneau,58.3176,-134.101
AK,Auke Bay,8,Juneau,58.3875,-134.6446
AK,Aurora Energy LLC Chena,191982,Fairbanks North Star,64.847743,-147.735063
AK,Barrow,50162,North Slope,71.292,-156.7786
AK,Battery Energy Storage System,-2392,Fairbanks North Star,64.8167,-147.725
AK,Beaver Falls,42915,Ketchikan Gateway,55.37975,-131.470269
AK,Beluga,84421,Kenai Peninsula,61.1861,-151.0356
AK,Bernice Lake,12,Kenai Peninsula,60.6935,-151.3874
AK,Bethel,41020,Bethel,60.7897,-161.787778
AK,Black Bear Lake,20763,Prince of Wales-Hyder,55.476472,-133.14772
AK,Blue Lake Hydro,69018,Sitka,57.0516,-135.2297
AK,Bradley Lake,430509,Kenai Peninsula,59.77862,-150.94015
AK,Brevig Mission,1137,Nome,65.331716,-166.479506
AK,Centennial,3046,Prince of Wales-Hyder,55.121433,-131.560267
AK,Chester Lake,4585,Prince of Wales-Hyder,55.116879,-131.545879
AK,Chevak,2471,Bethel,61.525297,-165.590152
AK,Cooper Lake,86666,Kenai Peninsula,60.392331,-149.665603
AK,Craig (AK),431,Prince of Wales-Hyder,55.47691,-133.14869
AK,Delta Power,38,Southeast Fairbanks,64.028056,-145.719444
AK,Delta Wind Farm,4446,Southeast Fairbanks,64.013889,-145.596667
AK,Dillingham,18122,Dillingham,59.042914,-158.468597
AK,Dutch Harbor,46918,Aleutians West,53.892459,-166.538185
AK,Eielson AFB Central Heat & Power Plant,69895,Fairbanks North Star,64.67141,-147.075988
AK,Eklutna Generation Station,819046,Anchorage,61.457778,-149.351389
AK,Eklutna Hydro Project,76916,Matanuska Susitna,61.475211,-149.15009
AK,Elim,1278,Nome,64.616558,-162.263717
AK,Emmonak,4654,Wade Hampton,62.777694,-164.531517
AK,ESS Battery,0,Kodiak Island,57.799167,-152.404167
AK,Eva Creek Wind,73845,Denali,64.058333,-148.9
AK,Fairbanks,7133,Fairbanks North Star,64.854171,-147.719351
AK,False Island,689,Prince of Wales-Hyder,55.48918,-133.1345
